,Title,Date,Time,Score,Number of Comments
68,"Schumer: If Trump doesnt release his tax returns, its going to make tax reform much harder",2017-04-11,19:57:05,12772,888
69,The butchers bill keeps growing: Donald Trump abuses his own voters  and yet they love him,2017-04-12,13:36:20,273,24
70,White House loses it over sanctuary cities: Team Trump threatens a government shutdown,2017-04-12,20:06:25,83,13
71,Utah brothers launch billboard campaign to send message to Chaffetz,2017-04-12,07:09:34,872,39
72,Trumps modeling agency to shut down after exploiting illegal immigrants,2017-04-11,21:11:13,6815,232
73,Trump blames vacancies on lousy process,2017-04-12,16:43:00,147,19
74,Fox Business Host Corrects Trump When He Says He Fired Missiles At Iraq,2017-04-12,19:50:11,82,18
75,Manafort firm received Ukraine ledger payout,2017-04-12,18:11:39,113,5
76,Live Results: Republicans Defend House Seat in Kansas Special Election,2017-04-12,04:42:43,1261,578
77,Germany to Spicer: Nazi analogies lead to nothing good,2017-04-12,20:06:18,69,5
78,Trumps tax returns will be immediately under audit,2017-04-12,19:42:32,75,6
79,Georgia Republican makes unsubstantiated claim that rival is putting up yard signs without asking,2017-04-12,16:45:00,126,17
80,Manafort firm received Ukraine ledger payout,2017-04-12,18:20:41,99,1
81,Nancy Pelosi: Sean Spicer must be fired,2017-04-12,01:59:06,1754,132
82,GLAAD Calling on Nikki Haley to Act on Chechyna,2017-04-12,18:27:27,87,6
83,Trump is taking credit for jobs companies planned years in advance,2017-04-12,19:23:30,70,4
84,"Scott Pruitt requests funds for a 24/7 fleet of bodyguards, as the EPA is poised to cut health and safety programs",2017-04-11,23:46:11,2343,159
85,Trump Signals Steve Bannon Could Be On His Way Out,2017-04-12,20:00:49,52,8
86,"Tennessee Could Give Taxpayers Americas Fastest Internet For Free, But It Will Give Comcast and AT&T $45 Million Instead",2017-04-12,02:22:23,1364,47
87,Donald Trumps White House cant even organize the Easter Egg roll,2017-04-11,20:36:14,4406,729
88,Why Doesnt the United States Have Universal Healthcare?,2017-04-12,09:53:17,334,66
89,3 of Alabamas most powerful Republicans forced from office in 9 months,2017-04-11,18:57:40,6177,330
90,"Sorry America, Your Taxes Arent High",2017-04-11,20:21:21,4406,1129
91,"Nearly 1,500 economists across political divide agree that immigrants are good for the U.S.",2017-04-12,19:14:46,60,4
92,"Climate Change Is A National Security Issue, Says The Military",2017-04-11,17:22:37,10129,592
93,A Republican Wins in Kansas. Its Still a Loss for the G.O.P.,2017-04-12,15:23:33,122,28
94,"Panicked Borrowers, and the Education Departments Unsettling Silence",2017-04-12,14:13:37,142,1
95,"President Trumps throughly confusing Fox Business interview, annotated",2017-04-12,17:21:08,80,12
96,"No, Trump Has Not Created 600,000 Jobs Since Becoming President",2017-04-12,20:28:13,45,4
97,Attendees chant you lie at U.S. Rep. Joe Wilson during Graniteville town hall,2017-04-11,18:21:47,6442,679
98,Donald Trump recounts eating the most beautiful piece of chocolate cake with Xi Jinping while launching missiles heading to Iraq,2017-04-12,20:29:29,45,17
99,Vladimir Putin says US-Russia relations are worse since Donald Trump took office,2017-04-12,14:30:20,132,34
100,"Im Rep. Beth Fukumoto, former Republican, current Independent, prospective Democrat",2017-04-12,22:52:49,2242,510
101,"The most ill-informed, under-prepared, and psychologically ill-equipped president in US history",2017-04-13,05:25:59,17898,1511
102,Trump Says He May Freeze Subsidies to the Poor Until Democrats Repeal Obamacare,2017-04-13,07:32:59,3594,601
103,Trump-linked businesses loaned $13M to shell corporation Paul Manafort created on day he left campaign,2017-04-13,15:13:44,763,63
104,Watchdog Claims They Have Evidence Bannon Was Illegally Paid as Trumps Campaign Chair,2017-04-13,02:18:21,10348,381
105,Ex-MI6 chief accuses Donald Trump of secretly borrowing from Russia to keep his property empire afloat during the financial crisis,2017-04-13,02:56:01,7478,365
106,"Trump Says He Didnt Know Bannon Until Campaign, but They Met in 2011",2017-04-13,00:48:35,20834,1306
107,Undercooled meat. Dangerous fish. Health inspectors zing Trumps Mar-a-Lago kitchen,2017-04-13,14:34:31,601,74
108,"Trump on North Korea: after listening for 10 minutes, I realized its not so easy",2017-04-13,02:47:44,4282,822
109,"After Campaign Exit, Manafort Borrowed From Businesses With Trump Ties",2017-04-13,02:48:52,3758,248
110,Trump Reverses Himself On 6 Major Issues In 2 Days,2017-04-13,03:48:43,2923,301
111,Donald Trump Is Still Annoyed That Everyone Thinks Steve Bannon Is the Real President,2017-04-13,07:52:18,1319,72
112,New Evidence Suggests Mercer-Backed Super PAC Unlawfully Coordinated with Trump Campaign; Bannon Front did not Comply with California Law,2017-04-13,00:02:33,6494,445
113,The Russia story just keeps getting worse for President Trump,2017-04-12,21:20:47,24091,3699
114,Attorney General Jeff Sessions Is Using His Job to Purge America of People Who Dont Look Like Him,2017-04-13,05:23:52,1706,85
115,Secretary Tillerson fails to defend US journalist in Russia,2017-04-13,15:14:59,278,24
116,The FBI suspected Carter Page was working as an agent for Russia,2017-04-13,05:56:22,1439,40
117,US intelligence intercepted communications between Syrian military and chemical experts,2017-04-13,06:29:23,1281,124
118,The Latest: Page wont say who brought him on Trump campaign,2017-04-13,01:13:34,3492,226
