,Title,Date,Time,Score,Number of Comments
293,The MOAB bomb costs $16 million each.,2017-04-14,01:34:17,922,176
294,Feds can fund 7 miles of Trump border wall: report,2017-04-14,00:19:30,1170,161
295,Afghanistan bomb: Trump finds the keys to the family gun cabinet | World news,2017-04-14,14:37:34,83,2
296,North Korea says it will ruthlessly ravage the United States if it comes under attack,2017-04-14,18:10:53,41,13
297,The bombing of Afghanistan shows the US is led by a one-man wild card,2017-04-14,17:21:03,50,13
298,CNN Commentator Shuts Down Analyst Who Called Trump the Martin Luther King of Health Care,2017-04-13,18:25:43,3341,300
299,Can Trump continue to engage in acts of war without congressional approval? And how far can he go?,2017-04-14,13:25:47,101,10
300,"Im Rep. Beth Fukumoto, former Republican, current Independent, prospective Democrat",2017-04-12,22:52:49,3107,617
301,Donald Trump-Russia investigation now has specific concrete and corroborative evidence of collusion,2017-04-14,14:16:43,23280,2935
302,"Republican congressman tells his constituents that because hes rich, he doesnt work for them",2017-04-14,15:24:17,3554,242
303,Former MI6 chief suggests Donald Trump may have secretly borrowed Russian money to keep his businesses afloat when others in the west wouldnt lend to him,2017-04-14,16:28:59,2188,122
304,Former Defense Secretary Criticizes President Trump For Saying My Military,2017-04-14,16:10:11,1989,196
305,"Asked about privacy changes, GOP rep says internet usage is optional",2017-04-14,17:15:33,1142,192
306,Trump admin drops bomb as new Russia story breaks,2017-04-14,15:34:04,1375,172
307,"After Tillerson Leaves, Putin Orders Sweeping Arrests of Opposition Figures",2017-04-14,17:54:43,801,41
308,Trump 90 Days Ago: My People Will Have a Full Report on Hacking Within 90 Days!,2017-04-14,04:31:31,30409,1644
309,Trump faces Chinese mockery following embarrassing reversals,2017-04-14,16:58:50,756,60
310,Glenn Beck: Trump another Republican who said stuff and didnt mean it,2017-04-14,17:53:48,632,60
311,Richard Posner: The Real Corruption Is the Ownership of Congress by the Rich,2017-04-14,13:30:19,1381,57
312,ICE targets mother with no criminal record for deportation,2017-04-14,15:09:15,905,308
313,Survey says: Political polarization isnt the internets fault -- A study says hyper-partisanship is more common among older people who barely use the internet,2017-04-14,15:33:28,804,96
314,Sanders wins big with free public college and Medicare for all,2017-04-14,17:30:21,543,118
315,You work for us: Arizona Sen. Jeff Flake faces hostile town hall,2017-04-14,17:13:57,576,47
316,British intel agency reported Trump campaign Russia ties: Report,2017-04-14,15:17:30,755,46
317,Democrats In Illinois Just Unseated A Whole Bunch Of Republicans,2017-04-14,08:42:53,2500,197
318,Donald Trump has overtaken Barack Obama on executive orders,2017-04-14,18:44:57,374,63
319,More TrumpRegrets every day: Now the hard-right nationalists are losing their religion,2017-04-14,16:05:55,553,115
320,Trump arrives at Mar-a-Lago for three-day Easter weekend,2017-04-14,03:18:39,7303,1169
321,Ex-acting CIA chief: Trump is making North Korea situation worse,2017-04-14,18:07:02,371,26
322,Spending blind: Shocking education report shows taxpayers pay millions for subpar charter schools,2017-04-14,16:50:40,440,43
323,Ex-Pentagon chief: Its not Trumps military,2017-04-14,17:08:44,384,5
324,"The Trump Doctrine: Eat cake, fire missiles, learn on the job",2017-04-14,14:52:55,532,18
325,Carter Page: All of the lies are coming out into the open,2017-04-14,15:58:56,413,51
326,Trump used the phrase my military  a former US defense secretary was not amused,2017-04-14,09:32:50,1128,73
327,"Its time America explored how to end the multiple wars it has helped cause since 2001, rather than dropping more bombs",2017-04-14,18:57:14,200,39
328,Trumps EPA chief Scott Pruitt calls for an exit to the Paris climate agreement,2017-04-14,18:19:54,221,19
329,Trump made sure the media didnt see him sign a bill to cut Planned Parenthood funding .,2017-04-14,08:36:02,1241,97
330,Donald Trump Is Just George W. Bush But Racist,2017-04-14,18:24:31,199,69
331,Donald Trump just quietly signed away more womens rights,2017-04-14,14:02:34,440,20
332,James Comey Says Americans Should Be Wary of Troll Farms Peddling Fake News,2017-04-14,04:46:40,2311,211
333,Airlines Treat People Like Dirt Because the Republicans in Congress Let Them,2017-04-14,16:35:44,243,21
334,China says North Korea tension has to be stopped before it reaches irreversible stage.,2017-04-14,14:59:29,330,62
335,FBI director: Public should be aware agenda-driven fake news,2017-04-13,21:26:19,11617,1384
336,Analysts identify #SyriaHoax as Russian-fueled propaganda,2017-04-14,03:31:34,2283,250
337,"Dems push for Jared Kushner to lose security clearance after hiding Russia meeting, hint at felony",2017-04-14,14:25:28,294,17
338,CIA Director: WikiLeaks a non-state hostile intelligence service,2017-04-13,23:46:33,4772,1001
339,It looks like Donald Trump is trying to bomb his way to popularity.,2017-04-13,21:57:55,7937,1496
340,British intelligence passed Trump associates communications with Russians on to US counterparts,2017-04-14,00:22:07,3985,380
341,"Ivanka Trump: Majority of young US women view Donald Trumps daughter negatively, poll finds",2017-04-13,23:34:56,4785,479
342,Trumps Reversals Come After Crash Course on the Issues,2017-04-14,17:39:14,150,19
343,"Spicer refuses to say if Trump was in Situation Room for Afghanistan strike, flees amid questions.",2017-04-14,01:12:16,3341,453
344,Trumps Tweets About North Korea Are Making Bad Matters Worse,2017-04-14,16:44:16,179,16
345,Warren demands explanation after MOAB strike,2017-04-14,17:38:19,143,61
346,Chinese Media Cant Stop Making Fun Of Donald Trump,2017-04-14,11:40:22,432,32
347,Republicans cant find a way to repeal Obamacare because too many of them secretly love it,2017-04-14,18:27:32,131,14
348,House Democrats want Kushners security clearance suspended,2017-04-13,19:34:53,21049,1247
349,"I voted for Trump. After the Syria strikes, Im second-guessing my choice.",2017-04-14,17:12:06,151,66
350,GOP Candidate Loses Partys Support After Telling Woman You Should F**k Me,2017-04-14,02:07:27,2391,288
351,CNNs Jeffrey Lord called Trump the MLK of health care. He then had a very long day,2017-04-14,15:29:21,201,22
352,We are relying on China and Russia to tell us what Trump and Tillerson discussed with their leaders,2017-04-13,22:11:08,5250,168
353,"As North Korea brews, Trump again in Mar-a-Lago",2017-04-14,18:56:05,100,23
354,Bannons departure would rip the mask off the blue-collar Trump,2017-04-14,19:14:35,91,17
355,Trump no longer plans to eliminate the national debt,2017-04-14,08:37:21,631,69
356,"While the U.S. wasnt looking, Russia and Iran began carving out a bigger role in Afghanistan",2017-04-14,17:34:40,121,15
357,GAO launches probe of Trump transition,2017-04-13,23:04:14,3724,159
358,Trump approval at 39 percent as international tensions escalate: poll,2017-04-14,18:22:08,103,24
359,Secret Service costs for Trump family protection continue to mount,2017-04-14,14:31:09,198,8
360,Howard Stern: Sean Spicer Speaks Fluent Moron,2017-04-14,05:16:15,1048,64
361,Why an independent counsel is necessary in election probe,2017-04-14,16:28:52,137,4
362,Trumps pledge to allow political action from churches may come in tax bill,2017-04-14,16:36:51,130,65
363,Science is under threat from Trump era politics,2017-04-14,17:01:36,116,8
364,64% of Republicans want to see Trumps tax returns,2017-04-13,20:12:35,6484,244
365,"GOP senator faces town hall anger over Supreme Court, healthcare",2017-04-14,17:29:30,114,5
366,Trump CIA Boss: WikiLeaks Is a Russian Tool,2017-04-14,00:06:00,2624,145
367,How much trouble is Paul Manafort in?,2017-04-14,18:27:47,89,12
368,GOP governor absurdly claims voting hours should be cut so media can report results before bedtime,2017-04-14,00:39:02,2345,148
369,Republicans Love the Same Attack on Syria They Hated When Obama Considered It,2017-04-14,00:55:57,2157,137
370,"Former Trump adviser Carter Page held strong pro-Kremlin views, says ex-boss",2017-04-14,10:19:48,383,8
371,Trumps Policies Are Already Making Workplaces More Toxic,2017-04-14,15:41:01,141,10
372,GOP rep: Bullcrap to say taxpayers pay my salary,2017-04-13,17:14:28,20682,2258
373,"Behind closed doors, Trump signs bill allowing states to strip federal family planning dollars from abortion providers",2017-04-13,21:38:16,3760,448
374,Pelosi calls for immediate Congressional scrutiny after saber-rattling on North Korea,2017-04-14,04:44:51,927,86
375,Audience Laughs as Kellyanne Conway Complains About Liars,2017-04-13,19:42:04,5732,385
376,North Korea says it will ruthlessly ravage the United States if it comes under attack,2017-04-14,18:10:53,79,27
377,Trump visits Mar-a-Lago resort for 23rd day as president,2017-04-14,19:18:30,60,15
378,Nancy Pelosi says Obamacare payments are not optional,2017-04-14,17:58:02,84,13
379,Muslim woman stabbed and beaten after attacker tries to tear off her hijab,2017-04-14,13:23:43,180,23
380,How the Bible Belt lost God and found Trump,2017-04-14,04:54:12,820,156
381,Trump signs law that allows states to deny funding to Planned Parenthood,2017-04-14,14:56:40,132,17
382,Trump Effect: Dems Shatter Fundraising Records,2017-04-14,19:19:48,55,10
383,President Trump changes stance on 4 campaign positions in just 1 day,2017-04-14,16:42:06,93,6
384,House Freedom Caucus leader admits Republicans are getting annihilated at town halls,2017-04-14,18:09:22,68,58
385,A complete waste: What Trump said about war in Afghanistan before he dropped the $16m Mother of all Bombs,2017-04-14,02:50:46,1126,85
386,Climate change is accelerating; join us to help reverse that,2017-04-14,17:14:47,77,2
387,Ex-acting CIA chief: Trump is making North Korea situation worse,2017-04-14,18:22:51,68,8
388,Ex-Trump aide: Something may have come up with Russians about lifting US sanctions,2017-04-13,17:21:27,8425,498
389,Trump-linked businesses loaned $13M to shell corporation Paul Manafort created on day he left campaign,2017-04-13,15:13:44,33866,2458
390,Justice Department drops North Carolina LGBT rights lawsuit,2017-04-14,17:54:52,69,2
391,Report: White House Mulls Sending Thousands of U.S. Ground Troops Into Syria,2017-04-14,03:10:26,938,196
392,King: Trumps Twitter fingers could spark World War III,2017-04-14,18:47:35,55,5
393,"Dont Wait For Google, Netflix Or Facebooks Help If You Want To Save Net Neutrality",2017-04-14,18:53:26,59,4
394,Howard Stern says press secretary Sean Spicer speaks fluent moron after Hitler comments,2017-04-14,14:39:01,112,5
395,"Expert who called Trumps election win, now predicts impeachment",2017-04-13,22:53:41,2071,177
396,OnPolitics Today: Trumps flipping on issues faster than we can keep up,2017-04-14,15:50:32,94,6
397,Carter Page Now Says Sanctions May Have Come Up During Russia Trip,2017-04-13,17:59:33,5570,282
398,Roger Stone gets his facts from the National Enquirer,2017-04-14,01:21:49,1215,52
399,The bombing of Afghanistan shows the US is led by a one-man wild card,2017-04-14,17:21:03,70,13
400,"Im Rep. Beth Fukumoto, former Republican, current Independent, prospective Democrat",2017-04-12,22:52:49,3511,658
401,Saturday Morning Political Cartoon Thread,2017-04-15,18:47:29,180,68
402,Donald Trumps shifting positions have everything to do with the last person he spoke with,2017-04-15,14:43:13,16859,983
403,"Energy Star ratings are cheap, effective and popular. Why does Trump want to kill them?",2017-04-15,16:50:43,5375,357
404,Nearly $500K in campaign funds has gone to Trump-owned entities: report,2017-04-15,17:26:52,4468,169
405,Sanders calls for end to death penalty,2017-04-15,18:48:24,1781,547
406,Marriott CEO: Trumps travel ban is hurting hotels,2017-04-15,18:06:50,1747,139
407,"If Jeff Sessions wants to crack down on medical marijuana, hell have to battle more than half the country",2017-04-15,16:12:16,2357,232
408,Jon Ossoffs Race Is the First Real Battle Between Millennials and Trump,2017-04-15,15:30:06,2492,457
409,Some misreading Trump confusion as evolution: Dan Rather,2017-04-15,17:03:34,1693,50
410,FBI documents detail how the Russians try to recruit spies,2017-04-15,17:37:27,1411,60
411,Trump visits golf course for 19th time as president,2017-04-15,18:09:28,1262,105
412,"No, Wealth Isnt Created at the Top. It Is Devoured There",2017-04-15,19:06:57,1011,174
413,Stanford barred professor from using Trumps image for sexual assault conference,2017-04-15,16:06:18,1703,386
414,Hes changing his mind on almost everything: Trumps voters can be very forgiving  up to a point,2017-04-15,17:51:54,1159,106
415,Judge rules Dakota Access pipeline company can keep spill risks secret from the public,2017-04-15,17:47:27,1163,25
416,Trump To Speak At NRA Convention  First President In 34 Years To Do So,2017-04-15,16:14:25,1508,401
417,"Republican politician after voting down privacy laws: If you dont like it, dont use the internet",2017-04-15,17:41:05,891,50
418,Met Police face monster security operation as Donald Trump insists on golden carriage procession during visit,2017-04-15,20:00:59,590,187
419,The Resistance Now: marchers across US to demand Trumps tax returns,2017-04-15,18:54:37,689,78
420,"Paul Ryan Raised $657,000 While Avoiding His Constituents During Recess",2017-04-15,20:05:31,482,24
421,Democrats fear that Trump has barred key federal workers from speaking to them,2017-04-15,20:37:39,432,34
422,Schwarzenegger matching donations in effort to fight gerrymandering,2017-04-15,04:01:21,32500,1031
423,Watchdog: Reason To Believe Trump And Super PAC Violated Election Law,2017-04-15,16:09:11,935,7
424,Trump wants gold-plated carriage ride with Queen during UK visit: report,2017-04-15,21:01:50,371,111
425,Oklahoma congressman: Its bull crap that constituents pay my salary,2017-04-15,14:38:15,1169,60
426,Man accused of assaulting woman at election rally says Trump inspired him,2017-04-15,21:13:47,351,26
427,Even Canadians are skipping trips to the U.S. after Trump travel ban,2017-04-15,19:29:36,436,59
428,This week in Donald Trumps conflicts of interest: Trumps bad presidency is also bad for business,2017-04-15,15:07:18,939,34
429,Report: Kushner found Trump advisor Navarro by browsing Amazon,2017-04-15,21:36:49,263,56
430,DeVos Halts Obama-Era Plan to Revamp Student Loan Management,2017-04-15,17:53:30,490,24
431,"Glenn Beck: Trump Looking Like Another Republican Who Said Stuff, Didnt Mean It",2017-04-15,16:01:40,682,47
432,Activists plan Tax March to Trumps Mar-A-Lago resort Saturday to demand he release tax returns,2017-04-15,12:59:33,1181,70
433,TMZ catches Paul Ryan vacationing at Universal theme park while avoiding town halls at home,2017-04-15,18:25:04,421,17
434,Secret Service costs for President Donald Trumps family mounts,2017-04-15,18:24:26,422,10
435,Trump claims hes immune from lawsuit over inciting violence at rallies,2017-04-15,17:52:09,408,16
436,"Roger Stone defends WikiLeaks, calls for CIA head to resign over attacks",2017-04-15,19:11:51,280,92
437,Guardian Report Claims U.S. Has Concrete Evidence of Trump-Russia Collusion,2017-04-15,05:57:47,3234,447
438,Trump heads to Fla. golf course,2017-04-15,18:30:30,300,50
439,Trump-era damage to the EPA appears increasingly brutal,2017-04-15,20:14:03,213,13
440,"Hillary hatred, exposed: What drives Americas never-ending case against Clinton",2017-04-15,18:36:00,297,402
441,Donald Trump: Resistance to US President is beginning as Democrats unseat Republicans in Illinois,2017-04-15,04:50:41,3739,140
442,Georgias Democrats amaze themselves with power of anti-Trump momentum in special election,2017-04-15,20:31:17,194,25
443,The ACLU Is Writing the First Amendment in Arabic on Billboards as a Rebuke to Trump,2017-04-15,22:09:44,138,41
444,The GOP Almost Lost in Kansas Because Even Republicans Hate Their Partys Agenda,2017-04-15,19:41:29,215,20
445,"Secret Service has spent $35,000 on golf cart rentals since inauguration: report",2017-04-15,04:22:29,3338,256
446,Trump demands goldplated welcome,2017-04-15,18:58:10,213,42
447,Trumps nominee to head the Export-Import Bank once voted to eliminate it,2017-04-15,18:13:49,244,18
448,Trumps reelection campaign raised $13.2 million in first quarter,2017-04-15,16:10:53,330,44
449,Keith Olbermann Calls Out Trump: You Are A Jackass,2017-04-15,20:17:01,153,14
450,Trump claims he cant be sued for inciting rally violence,2017-04-15,05:40:10,2160,121
451,The Anti-Defamation League has offered to hold a Holocaust education class for Sean Spicer,2017-04-15,19:28:26,164,6
452,ACLU: Trumps refusal to release White House visitor logs is unacceptable,2017-04-14,22:47:22,12766,428
453,The problem with thinking you know more than the experts,2017-04-15,17:50:44,219,16
454,The Fight Over Trumps Tax Returns Isnt Over,2017-04-15,14:04:03,439,12
455,Donald and Melania fly in separate his and hers taxpayer-funded planes,2017-04-15,00:17:33,6776,677
456,The White House Will Keep Its Visitor Logs Secret,2017-04-14,21:02:17,31784,2664
457,Tax Day protests: Anti-Trump marches planned nationwide to demand tax returns,2017-04-15,13:34:19,409,25
458,This 16-year-old girl expertly shut down a Republican on abortion,2017-04-15,17:09:06,213,125
459,Marchers take to streets in cities across US to demand Donald Trump release tax returns,2017-04-15,21:07:42,98,5
460,Trump Reportedly Insists On Traveling In Lavish Carriage During UK State Visit,2017-04-15,21:47:00,80,31
461,Attorney: OReillys crisis is himself,2017-04-15,20:58:31,100,3
462,Old Trump tweet resurfaces in response to WH decision not to release visitor logs,2017-04-14,23:33:40,6002,271
463,Protesters to take to streets to demand Trump release tax returns,2017-04-15,19:34:50,122,4
464,4 Former EPA Chiefs Speak Out Against Trump Administration,2017-04-15,17:30:12,176,2
465,Protesters demand Trumps tax returns,2017-04-15,21:52:24,74,4
466,Bondi/Trump investigators: No interviews were conducted...,2017-04-15,21:20:52,87,7
467,Queer chef declines being interviewed for Ivanka Trumps website by spitting straight truth,2017-04-15,20:59:03,90,9
468,Megyn Kelly Reportedly Complained About Bill OReilly Before Leaving Fox,2017-04-15,21:20:26,84,12
469,Nationwide Tax Day Marches Demand Donald Trump Releases His Tax Returns,2017-04-15,20:32:06,94,9
470,Trump and Tillerson learning diplomacy on the job,2017-04-15,16:40:05,190,32
471,Federal Judge Blocks Arkansas Executions,2017-04-15,17:02:05,163,3
472,Major Scientific Publication Endorses March for Science,2017-04-15,17:26:19,146,15
473,Nevada just became the first state since 1978 to ratify the Equal Rights Amendment. Could it finally pass?,2017-04-15,18:44:04,111,5
474,"Ex-Army colonel: Ive never been so concerned about US, world",2017-04-15,21:22:14,71,6
475,Alt-Right Ringleader Mike Cernovich Threatens to Drop Motherlode If Steve Bannon Is Ousted,2017-04-15,01:41:45,2642,545
476,More than 100 people rally in Harrisburg to demand President Trump release his tax returns,2017-04-15,21:01:38,70,12
477,Evidence Is Building That the Trump Campaign Colluded With Russia,2017-04-14,23:48:45,3880,378
478,The Tax March: Thousands to protest around the country; call on President Trump to release his taxes,2017-04-15,20:04:04,85,1
479,Georgia Special Election Going Down to the Wire,2017-04-15,18:49:34,106,10
480,Frustration with Trump down South: The changing politics of reliably Republican congressional district propels Jon Ossoff,2017-04-15,17:08:52,146,7
481,"Melania just added another $100,000 to Donald Trumps massive travel tab",2017-04-15,21:20:43,69,16
482,Tens of thousands of protestors will march in streets to demand Trump release tax returns,2017-04-15,20:05:33,80,6
483,Saturday Night Live hosting gig will test Jimmy Fallons toughness on Trump,2017-04-15,16:30:07,140,19
484,"His and Hers jets, paid for with your tax dollars: Melania adds another $100,000 to Trumps massive travel tab as she flies separately to Mar-a-Lago with Barron",2017-04-14,21:28:25,5438,531
485,Why did FBI suspect Trump campaign adviser was a foreign agent?,2017-04-15,22:24:25,43,8
486,Trump adviser who wrote women already have equal rights will be working with Ivanka on womens issues,2017-04-15,20:53:05,59,12
487,Trump Didnt Know How FISA Worked Before Making Obama Wiretap Claim,2017-04-14,23:15:26,3195,191
488,Former MI6 chief Richard Dearlove says Donald Trump borrowed money from Russia during 2008 financial crisis,2017-04-14,21:48:16,4173,162
489,Donald Trump has overtaken Barack Obama on executive orders,2017-04-14,18:44:57,10405,1055
490,"Complaint: Bannon, Mercer Dodged California Taxes",2017-04-15,06:24:50,787,7
491,Mike Cernovich backtracks after he threatened to expose salacious stories about Trump administration,2017-04-15,20:28:00,56,14
492,Trumps Goldman Sachs Vampire Squid Presidency.,2017-04-15,18:36:55,85,3
493,Trump is now destroying a healthy health-care system,2017-04-14,22:54:02,3135,216
494,"At Easter, Trump has yet to find a church home in DC",2017-04-15,18:12:12,84,35
495,Democrats Are Preparing A Bill To Completely Wean The U.S. Off Fossil Fuels By 2050,2017-04-14,20:30:17,5182,378
496,Trump to discontinue Obama policy of voluntarily releasing White House visitor logs,2017-04-14,21:04:53,4229,135
497,How A National Parks Worker Sparked The Rogue Twitter Movement,2017-04-15,21:14:07,47,1
498,Steve Bannon: is Trumps right-hand man falling from grace?,2017-04-15,15:49:15,113,8
499,Joe Biden Calls on Trump Admin to Condemn LGBTQ Crisis in Chechnya,2017-04-15,02:16:07,1398,68
500,"In the face of cuts for the needy, Trumps $3M trips are appalling",2017-04-16,14:16:24,23505,1626
501,Democrats Just Unseated A Whole Bunch Of Republicans In Illinois,2017-04-16,20:16:46,2213,154
502,Leaks Between Trump Team And Russia Continue To Come Out,2017-04-16,17:09:06,4275,312
503,Trump goes after tax returns protests: The election is over!,2017-04-16,17:49:00,2971,286
504,Why is it your right to take away my right to choose?: Teenager slams top Republican senator during testy town hall,2017-04-16,14:29:04,6481,1621
505,Trump: Why would I call China a currency manipulator when they are working with us on North Korea,2017-04-16,16:35:04,3779,466
506,"Trump Calls for Investigation Into Tax Day Protesters, Tweets Election Is Over!",2017-04-16,18:39:33,2015,197
507,White supremacist who created stir at Stanislaus State seen punching woman at Berkeley protest,2017-04-16,17:25:28,2490,1242
508,US airstrikes under Trump killing more civilians in Syria and Iraq than anytime before,2017-04-16,15:40:38,3333,326
509,Mitch McConnell violated the Constitution by single-handedly blocking SCOTUS nominee Merrick Garland and installing Neil Gorsuch.,2017-04-16,23:40:58,685,98
510,Trump asks why people are still talking about his taxes a day after protesters asked for his returns,2017-04-16,21:05:43,1082,92
511,Congressman promotes a Charles Darwin Day to fight science skepticism,2017-04-16,19:19:46,1364,31
512,"Court Upholds $300,000 Fine After Trump Refuses to Pay Miami Paint Store",2017-04-16,23:52:41,579,55
513,Maxine Waters On Trump: I Will Fight Every Day Until He Is Impeached,2017-04-16,19:57:27,1073,78
514,How The Government Is Turning Protestors Into Felons,2017-04-16,19:30:48,1112,137
515,Donald Trump promised he was going to release his tax returns many times,2017-04-16,21:29:53,720,32
516,"Donald Trump is very upset Amanda Knox voted for Hillary Clinton, says his advisor",2017-04-16,20:03:31,902,88
517,"Donald Trump borrowed money from Russia in 2008, claims ex-MI6 boss",2017-04-16,23:21:36,461,21
518,Trump: Tax Day protesters were paid,2017-04-16,18:00:06,1241,142
519,Ex-Trump Campaign Adviser Carter Pages Accounts Of Russia Ties Keep Shifting,2017-04-16,18:44:20,1067,30
520,Trump has spent nearly a third of his presidency in Florida,2017-04-16,22:25:39,519,46
521,"As Trump plays the global strongman, what happened to America first?",2017-04-16,15:05:24,1932,126
522,"Paul Ryan spent his recess fundraising, and avoided holding a single town hall",2017-04-16,20:15:40,712,16
523,The IRS was just sued for not releasing Trumps tax returns,2017-04-16,08:14:08,9460,693
524,#GrabYourWallets Anti-Trump Boycott Looks To Expand Its Reach,2017-04-16,16:26:31,1402,73
525,"As world is warned of war at any moment, Trump monitors escalating North Korea situation at Mar-a-Lago without his chief of staff or some key advisors",2017-04-16,17:08:25,1179,78
526,Medicaid expansion: Its a widely popular issue Democrats and progressives can win on  right now,2017-04-16,15:55:23,1463,95
527,Grab him by the taxes: Nationwide Tax March called on President Trump to release his tax returns,2017-04-16,14:41:42,1772,34
528,Trumps millennial problem: The snowflakes are becoming a blizzard,2017-04-16,18:31:31,824,101
529,Trumps fake news media attacks have an ominous precedent in Nazi-era lying press strategy,2017-04-16,19:59:21,616,21
530,Sebastian Gorka likes to be called Dr. Gorka. He gets his way only in conservative media.,2017-04-16,18:28:46,778,162
531,"After a day of marches, Trump asks why people are still talking about his taxes",2017-04-16,18:40:09,730,33
532,The White House may have violated its own ethics rules with Trumps executive branch hires,2017-04-16,20:08:06,544,14
533,Leaks Between Trump Team And Russia Continue To Come Out,2017-04-16,23:31:02,251,40
534,"Sarah Silverman To Trump: Show Us Your F***king Taxes, You Emotional Child",2017-04-16,21:21:16,370,51
535,Dan Rather: Dropping bombs isnt presidential,2017-04-16,20:26:54,436,18
536,"The Violent Clashes In Berkeley Werent Pro-Trump Versus Anti-Trump, They Were Anti-Fascists Versus White Nationalists",2017-04-16,23:44:40,214,66
537,Trump Administration Is Removing Climate Change Research from Government Websites,2017-04-16,19:12:47,458,19
538,Sanders: I dont want to see us dragged into war in Syria,2017-04-16,17:36:45,606,86
539,Trump: Who paid for rallies seeking release of tax returns,2017-04-16,18:57:27,449,31
540,Donald Trump visits his golf resort AGAIN despite mounting tension with North Korea.,2017-04-16,21:39:13,247,11
541,"Sarah Silverman to Trump: Show Us Your F**king Taxes, You Emotional Child",2017-04-16,10:38:52,1903,410
542,"Chances are high that if youre abused in immigration detention, no one will care",2017-04-16,22:15:02,203,14
543,Trump is Hiring Lobbyists and Top Ethics Official Says Theres No Transparency,2017-04-16,16:11:46,615,12
544,Schwarzenegger promises to match donations in fight to terminate gerrymandering,2017-04-16,07:25:43,3174,57
545,Former senior official on Trumps first 100 days: This is a pig.,2017-04-16,20:39:29,252,18
546,The case for impeaching President Donald J. Trump. (Too soon?),2017-04-16,20:42:55,242,36
547,Samuel L Jackson backs Democrats in new radio ad for Georgia special election,2017-04-16,21:44:34,199,18
548,Jeff Sessions says hes surprised Americans arent embracing his anti-marijuana stance,2017-04-16,23:40:52,139,66
549,Why scientists are fighting back. Weve had enough of Trumps war on facts,2017-04-16,03:43:20,6639,311
550,Waters: I Think Trump Is Going Down,2017-04-16,21:49:04,178,23
551,Trump calls for someone to look into anti-Trump rallies,2017-04-16,17:30:36,384,34
552,Trump says he cant be sued for violence at his rallies because he won the election,2017-04-16,01:15:07,18633,1682
553,"Paul Ryan spent his recess fundraising, and avoided holding a single town hall",2017-04-16,22:10:15,163,16
554,Most Americans disapprove of Trumps job performance: Poll,2017-04-16,17:21:47,390,14
555,Dan Rather to Trump: Dropping bombs does not make you presidential,2017-04-16,23:18:07,124,12
556,GOP Rep turns his back on a grandmother who warns her family will die if Obamacare is repealed,2017-04-16,22:26:11,128,41
557,Even Canadians are skipping trips to the U.S. after Trump travel ban,2017-04-16,19:18:28,217,24
558,"The US may find itself fighting on three fronts, thanks to Trump",2017-04-16,22:33:30,121,18
559,Trump wonders  with no evidence  who paid for rallies seeking release of his tax returns,2017-04-16,20:14:23,177,28
560,Kelly: Marijuana not a factor in drug war,2017-04-16,20:36:55,156,8
561,The dirty tricks that demonise George Soros,2017-04-16,16:25:37,327,75
562,Dan Rather to Trump: Dropping bombs does not make you presidential,2017-04-17,00:05:21,83,18
563,Trump annoyed by Time cover with Bannon: report,2017-04-16,01:59:02,5178,315
564,"Bold promises, fewer results: Trumps executive orders dont always live up to his claims",2017-04-16,15:42:35,354,9
565,Breaking Down All Of The Trump Familys Travel Costs And Lavish Expenditures,2017-04-16,05:29:17,2281,127
566,Trump: Tax Day protesters were paid,2017-04-16,17:47:53,219,22
567,Supreme Court Scheduled to Hear Important Freedom of Religion Dispute,2017-04-16,15:36:57,321,125
568,Ex-ambassador: Trump trying to out-North Korean the North Koreans,2017-04-16,20:51:01,115,8
569,Sanders: US cant act impulsively on N. Korea,2017-04-16,22:08:49,83,29
570,Trump: Who paid for rallies seeking release of tax returns,2017-04-16,22:00:52,85,20
571,Health inspectors grill Mar-a-Lago eateries : Unsafe seafood. Insufficiently refrigerated meats. Rusty shelving. Cooks without hairnets.,2017-04-17,00:43:22,54,22
572,Steve Bannon may soon fall victim to Trumps phrase: Youre fired,2017-04-16,19:19:12,143,15
573,EPA emerges as major target after Trump solicits policy advice from industry,2017-04-16,23:16:11,70,8
574,Trumps Easter message: Sit down and obey,2017-04-16,20:28:23,107,23
575,Trump Mar-a-Lago travel triggers cost and ethics concerns,2017-04-16,10:24:56,667,6
576,Donald Trump claims protests demanding he publish tax returns were paid for,2017-04-16,20:51:07,95,8
577,The Pentagon money pit: $6.5 trillion in unaccountable army spending and no DOD audit,2017-04-16,23:46:13,57,4
578,Look whos in favor of Medicare for all: Trump voters and Sanders supporters,2017-04-16,05:47:34,1507,311
579,All-male panel ruled on rape bill during Marylands legislative session,2017-04-16,17:37:36,163,26
580,"While world discusses North Korea missile launch, Trump complains about tax marches",2017-04-16,19:10:31,124,2
581,8 News NOW photojournalist arrested at Trump tax rally,2017-04-16,22:38:59,65,7
582,Sanders: We need to take a hard look at the airlines in this country,2017-04-16,17:50:59,160,14
583,Mike Conaway Emerges From Relative Obscurity to Lead House Russia Inquiry,2017-04-17,00:41:02,45,4
584,Trump is playing a dangerous game of chicken with Democrats that could cause healthcare costs to skyrocket,2017-04-17,00:26:12,42,10
585,Trump takes route to Mar-a-Lago that misses Tax March protesters,2017-04-15,23:23:13,4804,356
586,Trumps base turns on him,2017-04-16,17:28:33,149,10
587,Alt-right leader Mike Cernovich punched in the face at Tax March rally,2017-04-17,01:03:08,36,13
588,"As Tax Day Approaches, Protesters Demand to See Trumps Returns",2017-04-16,15:00:10,220,3
